ID,AFFECTED_VERSION,CNNVD_ID,CVE_ID,PATCHES,PATCHES_LINKS,TITLE,LEVEL,vun_type,URL,Update_Time
42,null,CNNVD-201907-903,CVE-2019-2741,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94940 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-903,2019-07-29
43,null,CNNVD-201907-902,CVE-2019-2757,Oracle MySQL MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94939 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-902,2019-08-16
44,null,CNNVD-201907-901,CVE-2019-2797,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94938 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-901,2019-08-16
45,null,CNNVD-201907-900,CVE-2019-2774,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94937 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-900,2019-08-16
46,null,CNNVD-201904-813,CVE-2018-3123,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=91609 ,Oracle MySQL Server 访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201904-813,2019-07-02
47,null,CNNVD-201904-802,CVE-2019-2566,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=91598 ,Oracle MySQL Server 访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201904-802,2019-04-30
48,null,CNNVD-201904-792,CVE-2019-2692,Oracle MySQL Connectors 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=91588 ,Oracle MySQL Connectors 输入验证错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201904-792,2019-04-25
49,null,CNNVD-201904-784,CVE-2019-2580,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=91581 ,Oracle MySQL Server 访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201904-784,2019-08-16
50,null,CNNVD-201904-783,CVE-2019-2693,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=91580 ,Oracle MySQL Server 输入验证错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201904-783,2019-08-16
51,null,CNNVD-201904-781,CVE-2019-2581,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=91578 ,Oracle MySQL Server 访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201904-781,2019-08-16
52,null,CNNVD-201904-778,CVE-2019-2585,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=91575 ,Oracle MySQL Server 访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201904-778,2019-08-16
53,null,CNNVD-201904-777,CVE-2019-2584,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=91574 ,Oracle MySQL Server 访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201904-777,2019-08-16
54,null,CNNVD-201904-775,CVE-2019-2587,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=91572 ,Oracle MySQL Server 访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201904-775,2019-08-16
55,null,CNNVD-201904-773,CVE-2019-2589,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=91570 ,Oracle MySQL Server 访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201904-773,2019-08-16
56,null,CNNVD-201904-766,CVE-2019-2592,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=91564 ,Oracle MySQL Server 访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201904-766,2019-08-16
57,null,CNNVD-201904-765,CVE-2019-2593,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=91563 ,Oracle MySQL Server 访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201904-765,2019-08-16
